id,ra,dec,mag,con
37159,7.65276,34.584346,4.89,Gem
37800,7.768736,18.510043,4.89,Gem
78581,16.09071,-19.80186,4.9,Sco
23780,5.124164,18.645052,4.91,Tau
73246,15.016208,-8.518943,4.91,Lib
65991,13.56887,3.658967,4.92,Vir
75150,15.403303,-10.322266,4.92,Lib
19940,4.287684,20.578591,4.93,Tau
69047,14.18069,-16.30203,4.93,Vir
72404,14.850298,-2.29915,4.93,Lib
79135,16.199997,-10.064253,4.93,Sco
114577,23.280817,-7.726504,4.93,Aqr
39313,8.058634,27.794332,4.94,Gem
55779,11.465622,2.856265,4.95,Leo
77971,15.969825,-14.279358,4.95,Lib
20825,4.473992,16.359672,4.96,Tau
24762,5.321278,22.096494,4.96,Tau
67281,13.831191,-18.134168,4.96,Vir
78411,16.05573,-25.86524,4.96,Sco
88876,18.19537,-23.701235,4.96,Sgr
20200,4.339227,27.350754,4.97,Tau
38426,7.891616,26.765783,4.97,Gem
59988,12.339161,3.312574,4.97,Vir
65515,13.473837,13.778787,4.97,Vir
76506,15.67136,-23.818078,4.97,Lib
116392,23.663074,-14.222178,4.97,Aqr
10030,2.157036,25.939892,4.98,Ari
53669,11.012445,6.101449,4.98,Leo
46637,9.532428,11.299827,4.99,Leo
69167,14.20439,2.409433,4.99,Vir
98527,20.072108,-32.056296,4.99,Sgr
114753,23.316021,-9.61075,4.99,Aqr
25215,5.407071,17.383534,5,Tau
47072,9.620185,6.835802,5,Leo
87788,17.9848,-30.253025,5,Sgr
92554,18.918649,-22.671328,5,Sgr
119059,16.072774,-11.374611,5,Sco
